date,cash,position_value,mkt_value
2025-04-15,124508.0,-24817.0,99691.0
2025-04-16,124508.0,-24022.0,100486.0
2025-04-17,124508.0,-24046.0,100462.0
2025-04-21,124508.0,-23438.0,101070.0
2025-04-22,124508.0,-24079.0,100429.0
2025-04-23,124508.0,-24694.0,99814.0
2025-04-24,124508.0,-25432.0,99076.0
2025-04-25,124508.0,-25830.0,98678.0
2025-04-28,124508.0,-25827.0,98681.0
2025-04-29,124508.0,-25985.0,98523.0
2025-04-30,98547.0,0.0,98547.0
2025-05-01,106930.0,-8399.0,98531.0
2025-05-02,106930.0,-8665.0,98265.0
2025-05-05,106930.0,-8448.0,98482.0
2025-05-06,106930.0,-8267.0,98663.0
2025-05-07,106930.0,-8431.0,98499.0
2025-05-08,106930.0,-8768.0,98162.0
2025-05-09,106930.0,-8859.0,98071.0
2025-05-12,106930.0,-9982.0,96948.0
2025-05-13,84535.0,11798.0,96333.0
2025-05-14,84535.0,11727.0,96262.0
2025-05-15,84535.0,12031.0,96566.0
2025-05-16,84535.0,12243.0,96778.0
2025-05-19,84535.0,12349.0,96884.0
2025-05-20,84535.0,12406.0,96941.0
2025-05-21,84535.0,12202.0,96737.0
2025-05-22,84535.0,12111.0,96646.0
2025-05-23,84535.0,12178.0,96713.0
2025-05-27,84535.0,12314.0,96849.0
2025-05-28,84535.0,12253.0,96788.0
2025-05-29,84535.0,12322.0,96857.0
2025-05-30,97010.0,0.0,97010.0
2025-06-02,88673.0,8440.0,97113.0
2025-06-03,88673.0,8671.0,97344.0
2025-06-04,88673.0,8666.0,97339.0
2025-06-05,88673.0,8639.999999999998,97313.0
2025-06-06,88673.0,8674.0,97347.0
2025-06-09,88673.0,8711.0,97384.0
2025-06-10,88673.0,8460.0,97133.0
2025-06-11,88673.0,8397.0,97070.0
2025-06-12,88673.0,8376.0,97049.0
2025-06-13,88673.0,8087.0,96760.0
2025-06-16,88673.0,8410.0,97083.0
2025-06-17,88673.0,8383.0,97056.0
2025-06-18,88673.0,8418.0,97091.0
2025-06-20,88673.0,8411.0,97084.0
2025-06-23,88673.0,8868.0,97541.0
2025-06-24,88673.0,9098.0,97771.0
2025-06-25,88673.0,9130.0,97803.0
2025-06-26,88673.0,9340.0,98013.0
2025-06-27,88673.0,9515.0,98188.0
2025-06-30,98307.0,0.0,98307.0
2025-07-01,82011.0,16012.0,98023.0
